from	to	weight
Policana albopilosa	Aristotelia chilensis	673
Bombus dahlbomii	Alstroemeria aurea	154
Bombus dahlbomii	Berberis darwinii	67
Ruizantheda mutabilis	Aristotelia chilensis	110
Ruizantheda mutabilis	Rosa eglanteria	6
Trichophthalma amoena	Ribes magellanicum	2
Syrphus octomaculatus	Alstroemeria aurea	5
Syrphus octomaculatus	Berberis darwinii	5
Syrphus octomaculatus	Rosa eglanteria	4
Manuelia gayi	Alstroemeria aurea	7
Allograpta.Toxomerus	Alstroemeria aurea	1
Allograpta.Toxomerus	Rosa eglanteria	2
Allograpta.Toxomerus	Ribes magellanicum	3
Allograpta.Toxomerus	Calceolaria crenatiflora	1
Trichophthalma jaffueli	Alstroemeria aurea	3
Phthiria	Alstroemeria aurea	8
Phthiria	Mutisia decurrens	1
Platycheirus1	Aristotelia chilensis	4
Platycheirus1	Alstroemeria aurea	1
Sapromyza.Minettia	Alstroemeria aurea	1
Formicidae3	Cynanchum diemii	8
Nitidulidae	Cynanchum diemii	1
Staphilinidae	Alstroemeria aurea	4
Staphilinidae	Rosa eglanteria	3
Ichneumonidae4	Aristotelia chilensis	1
Ichneumonidae4	Schinus patagonicus	15
Braconidae3	Cynanchum diemii	2
Chalepogenus caeruleus	Calceolaria crenatiflora	3
Vespula germanica	Alstroemeria aurea	4
Torymidae2	Cynanchum diemii	9
Phthiria1	Alstroemeria aurea	1
Svastrides melanura	Alstroemeria aurea	6
Sphecidae	Alstroemeria aurea	1
Thomisidae	Alstroemeria aurea	1
Corynura prothysteres	Aristotelia chilensis	1
Corynura prothysteres	Alstroemeria aurea	3
Ichneumonidae2	Alstroemeria aurea	4
Ruizantheda proxima	Alstroemeria aurea	4
Braconidae2	Aristotelia chilensis	1
